Plot #,Plot ID,Female Parent,Female Parent Location,Male Parent,Male Parent Location ,Location Cross (F/M),Line,Block ,Date,Time,Recorder,Photo,Wet Weight of Plot (kg),Length of Plot (m),DNA Sample,Comments,Sample 1 Wet Weight (g),Sample 1 # of Blades,Sample 2 Wet Weight (g),Sample 2 # of Blades,Sample 3 Wet Weight (g),Sample 3 # of Blades,Sample 4 Wet Weight (g),Sample 4 # of Blades,Sample 5 Wet Weight (g),Sample 5 # of Blades,# of Blades (5cm),Density (Blades/m),Sample 6 Wet Weight (g),Sample 6 # of Blades,Sample 7 Wet Weight (g),Sample 7 # of Blades,Sample 8 Wet Weight (g),Sample 8 # of Blades,Sample 9 Wet Weight (g),Sample 9 # of Blades,Sample 10 Wet Weight (g),Sample 10 # of Blades,Total Weight of sub-sample (g),Dry Weight (g),% Dry Weight,Weight per Meter (kg/m),Dry Weight Yield (kg/m),DNA in lab?,Development,Moisture (%),Protein (%),Fat (%),Fiber (%),Ash (%)
83,SL18-UCONN-83,SL18-NL-3-F1,NL,SL18-LL-9-M1,LL,NLxLL,1,9,5/30/19,15:38:00,Schery,Yes,0.01,0.89,No,,0,0,0,0,0,0,0,0,0,0,0,0,7.52,2,0.1,1,0.16,1,,,,,7.78,0.70,9.00,0.01123595506,0.00,,1,,,,,
84,SL18-UCONN-84,SL18-NL-3-F1,NL,SL18-OI-11-M2,OI,NLxOI,4,2,5/31/19,,Schery,Yes,2.66,1.2,Yes,,95,7,1.63,1,45.92,4,10.22,2,0,0,14,280,88.2,5,,,,,,,,,240.97,23.50,9.75,2.216666667,0.26,,1,,,,,
85,SL18-UCONN-85,SL18-NL-3-F1,NL,SL18-SF-13-M2,SF,NLxSF,4,5,5/31/19,11:50:00,Jon,Yes,1.68,0.92,Yes,,19.5,2,37,4,24.3,1,0,0,58.9,1,8,160,59.9,2,,,,,,,,,199.6,24.07,12.06,1.826086957,0.20,y,1,,,,,
86,SL18-UCONN-86,SL18-NL-3-F2,NL,SL18-NL-3-M2,NL,NLxNL,4,2,5/31/19,10:23:00,Schery,Yes,0.16,0.93,No,,5.74,0,0,0,0,0,0,0,0,0,0,0,5.74,1,0.71,1,5.47,2,3.07,3,4.34,2,25.07,2.33,9.29,0.1720430108,0.01,,1,,,,,
87,SL18-UCONN-87,SL18-NL-3-F2,NL,SL18-SF-17-M2,SF,NLxSF,4,8,5/31/19,14:05:00,Simona,Yes,6.16,0.87,Yes,,35.4,4,80.5,5,85,6,158.5,7,87.7,2,24,480,,,,,,,,,,,447.1,33.30,7.45,7.08045977,0.46,y,4,,,,,
88,SL18-UCONN-88,SL18-NL-3-F3,NL,SA18-CB-2-M2,CB,NLxCB,4,8,5/31/19,14:11:00,Maggie,Yes,1.74,1.03,Yes,,0,0,4.03,3,8.03,1,18.28,2,9.21,1,7,140,74,2,,,,,,,,,113.55,10.78,9.49,1.689320388,0.17,y,1,,,,,
89,SL18-UCONN-89,SL18-NL-3-F3,NL,SL18-LD-13-M3,LD,NLxLD,4,1,5/31/19,,,Yes,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
90,SL18-UCONN-90,SL18-NL-3-F3,NL,SL18-LD-1-M2,LD,NLxLD,4,8,5/31/19,,,No,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
91,SL18-UCONN-91,SL18-NL-3-F3,NL,SL18-OI-14-M2,OI,NLxOI,4,6,5/31/19,,,,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
92,SL18-UCONN-92,SL18-NL-3-F3,NL,SL18-OI-18-M1,OI,NLxOI,4,3,5/31/19,,,No,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
93,SL18-UCONN-93,SL18-NL-3-F3,NL,SL18-SF-19-M1,SF,NLxSF,1,7,5/30/19,,,Yes,0.07,0.85,No,No growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.08235294118,#DIV/0!,,1,,,,,
94,SL18-UCONN-94,SL18-NL-6-F1,NL,SA18-CB-3-M3,CB,NLxCB,2,2,5/29/19,15:05:00,Jill,,7.62,1.08,Yes,,220,8,25.4,4,120,7,76.2,5,82.4,7,31,620,,,,,,,,,,,524,32.70,6.24,7.055555556,0.48,y,4,,,,,
95,SL18-UCONN-95,SL18-NL-6-F1,NL,SA18-CB-7-M2,CB,NLxCB,2,6,5/30/19,19:17:00,Tricia,,5.3,0.89,Yes,DNA taken from stem outside of samples,87.3,6,26.7,1,174.2,8,28.3,1,69.7,4,20,400,,,,,,,,,,,386.2,33.80,8.75,5.95505618,0.46,y,4,,,,,
96,SL18-UCONN-96,SL18-NL-6-F1,NL,SL18-LD-1-M2,LD,NLxLD,1,2,5/30/19,10:16:00,,Yes,2.05,0.91,Yes,,13.4,3,145.7,3,25,4,60.4,3,78.8,5,18,360,,,,,,,,,,,323.3,28.98,8.96,2.252747253,0.18,y,1,,,,,
97,SL18-UCONN-97,SL18-NL-6-F1,NL,SL18-LD-2-M1,LD,NLxLD,2,5,5/30/19,8:45:00,Maggie,Yes,3.58,0.92,Yes,,56,3,11,2,34,3,171,3,191,9,20,400,,,,,,,,,,,463,35.52,7.67,3.891304348,0.27,y,4,,,,,
98,SL18-UCONN-98,SL18-NL-6-F1,NL,SL18-LD-3-M2,LD,NLxLD,3,5,5/30/19,19:00:00,Simona,Yes,4.51,0.88,Yes,,24,3,179,9,20.1,4,32,9,59,5,30,600,,,,,,,,,,,314.1,24.18,7.70,5.125,0.35,y,4,,,,,
99,SL18-UCONN-99,SL18-NL-6-F1,NL,SL18-NL-2-M1,NL,NLxNL,1,6,5/30/19,14:26:00,,Yes,2.69,0.94,Yes,,32.3,3,50.8,5,49.1,5,92.5,5,6.5,3,21,420,,,,,,,,,,,231.2,21.01,9.09,2.861702128,0.24,y,4,,,,,
100,SL18-UCONN-100,SL18-NL-6-F1,NL,SL18-OI-11-M2,OI,NLxOI,4,8,5/31/19,14:00:00,Michelle,Yes,1.05,0.94,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,114.3,2,36,1,135.2,6,99.5,6,85.5,5,470.5,47.80,10.16,1.117021277,0.11,y,4,,,,,
101,SL18-UCONN-101,SL18-NL-6-F1,NL,SL18-OI-14-M2,OI,NLxOI,1,2,5/30/19,10:40:00,,Yes,5.18,0.9,Yes,285 plants on the line,38.8,6,83.2,2,59,3,13.2,2,89,4,17,340,,,,,,,,,,,283.2,26.00,9.18,5.755555556,0.48,y,4,,,,,
102,SL18-UCONN-102,SL18-NL-6-F1,NL,SL18-OI-15-M1,OI,NLxOI,1,9,5/30/19,,Simona,Yes,5.24,0.94,Yes,"334 total blade, dense",68.5,3,75.2,8,136.3,9,24.4,6,63.3,7,33,660,,,,,,,,,,,367.7,33.10,9.00,5.574468085,0.47,y,4,,,,,
103,SL18-UCONN-103,SL18-NL-6-F1,NL,SL18-OI-16-M1,OI,NLxOI,1,5,5/30/19,13:32:00,,Yes,3.61,0.86,Yes,,75.2,7,54.8,5,39.4,5,16.4,6,85.5,5,28,560,,,,,,,,,,,271.3,25.75,9.49,4.197674419,0.34,y,4,,,,,
104,SL18-UCONN-104,SL18-NL-6-F1,NL,SL18-SF-17-M1,SF,NLxSF,1,5,5/30/19,,,Yes,4.4,0.78,Yes,,12.4,4,3.9,2,52.7,4,43.3,2,0,0,12,240,119.5,4,,,,,,,,,231.8,21.85,9.43,5.641025641,0.41,y,4,,,,,
105,SL18-UCONN-105,SL18-NL-6-F1,NL,SL18-SF-19-M2,SF,NLxSF,1,1,5/30/19,9:56:00,,Yes,4.75,0.95,Yes,,241,10,72,5,101,4,7,2,214,10,31,620,,,,,,,,,,,635,35.50,5.59,5,0.27,y,4,,,,,
106,SL18-UCONN-106,SL18-NL-6-F3,NL,SA18-CB-4-M3,CB,NLxCB,4,1,5/31/19,,Maggie,Yes,0.63,0.85,Yes,Hole punches,0,0,0,0,0,0,0,0,0,0,0,0,34.86,1,96.04,2,55.84,2,69.42,2,73.14,4,329.3,39.91,12.12,0.7411764706,0.08,y,4,,,,,
107,SL18-UCONN-107,SL18-NL-6-F3,NL,SL18-LD-10-M3,LD,NLxLD,3,9,5/31/19,,,Yes,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
108,SL18-UCONN-108,SL18-NL-6-F3,NL,SL18-LD-5-M1,LD,NLxLD,3,9,5/31/19,,,No,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
109,SL18-UCONN-109,SL18-NL-6-F3,NL,SL18-OI-18-M1,OI,NLxOI,4,5,5/31/19,,,No,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
110,SL18-UCONN-110,SL18-NL-6-F3,NL,SL18-OI-4-M1,OI,NLxOI,1,1,5/30/19,10:13:00,,Yes,0.09,0.87,Yes,2 blades,0,0,0,0,0,0,0,0,0,0,0,0,1.04,1,2.13,2,,,,,,,3.17,0.32,10.09,0.1034482759,0.01,,1,,,,,
111,SL18-UCONN-111,SL18-NL-6-F3,NL,SL18-OI-7-M1,OI,NLxOI,3,7,5/31/19,8:24:00,Simona,Yes,0.28,1,Yes,Plot length recorded wrong,0,0,0,0,0,0,0,0,0,0,0,0,12.8,1,101.4,3,,,,,,,114.2,16.20,14.19,0.28,0.04,y,1,,,,,
112,SL18-UCONN-112,SL18-NL-6-F3,NL,SL18-OI-9-M3,OI,NLxOI,4,1,5/31/19,,,No,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
113,SL18-UCONN-113,SL18-NL-6-F3,NL,SL18-SF-13-M1,SF,NLxSF,3,2,5/30/19,17:00:00,Simona,Yes,0.18,0.83,Yes,,0,0,0,0,0,0,0,0,48,2,2,40,17,1,,,,,,,,,65,9.68,14.89,0.2168674699,0.03,y,1,,,,,
114,SL18-UCONN-114,SL18-NL-7-F3,NL,SA18-CB-7-M3,CB,NLxCB,1,8,5/30/19,,,Yes,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
115,SL18-UCONN-115,SL18-NL-7-F3,NL,SL18-LD-13-M3,LD,NLxLD,1,7,5/30/19,,Tricia,Yes,0.1,0.89,Yes,5 blades,0,0,3,2,0,0,0,0,0,0,2,40,11.4,1,2.5,3,,,,,,,16.9,2.88,17.04,0.1123595506,0.02,y,1,,,,,
116,SL18-UCONN-116,SL18-NL-7-F3,NL,SL18-LD-1-M2,LD,NLxLD,3,4,5/30/19,18:26:00,,Yes,0.07,0.85,Yes,Only two blades on plot,0,0,0,0,0,0,0,0,0,0,0,0,8.5,2,,,,,,,,,8.5,0.28,3.29,0.08235294118,0.00,y,1,,,,,
117,SL18-UCONN-117,SL18-NL-7-F3,NL,SL18-LD-3-M2,LD,NLxLD,2,9,5/29/19,,,Yes,0.07,0.77,No,No growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.09090909091,#DIV/0!,,1,,,,,
118,SL18-UCONN-118,SL18-NL-7-F3,NL,SL18-LD-9-M1,LD,NLxLD,2,8,5/29/19,,,Yes,0.08,0.89,No,No Kelp Growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.08988764045,#DIV/0!,,1,,,,,
119,SL18-UCONN-119,SL18-NL-7-F3,NL,SL18-SF-17-M2,SF,NLxSF,3,5,5/30/19,,,Yes,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
120,SL18-UCONN-120,SL18-NL-9-F2,NL,SA18-CB-7-M1,CB,NLxCB,4,6,5/31/19,,Mayra,Yes,5.4,0.96,Yes,,12.51,1,55.37,4,57.98,3,61.27,6,60.57,5,19,380,,,,,,,,,,,247.7,10.09,4.07,5.625,0.22,y,4,,,,,
121,SL18-UCONN-121,SL18-NL-9-F2,NL,SL18-SF-19-M1,SF,NLxSF,3,4,5/30/19,18:31:00,Liana,Yes,3,0.84,Yes,,75.2,16,8.7,4,0,0,72.8,9,0,0,29,580,,,,,,,,,,,156.7,14.50,9.25,3.571428571,0.28,y,4,,,,,
122,SL18-UCONN-122,SL18-NL-9-F3,NL,SL18-LL-9-M3,LL,NLxLL,1,7,5/30/19,,Tricia,Yes,0.09,0.8,Yes,1 blade,0,0,0,0,0,0,0,0,0,0,0,0,16.8,1,,,,,,,,,16.8,1.80,10.71,0.1125,0.01,y,1,,,,,
123,SL18-UCONN-123,SL18-NL-9-F3,NL,SL18-SF-17-M2,SF,NLxSF,3,5,5/30/19,18:43:00,Michael,Yes,0.1,0.84,No,Sparse,0,0,0,0,0,0,0,0,0,0,0,0,19.93,1,4.19,1,,,,,,,24.12,3.62,15.01,0.119047619,0.02,,1,,,,,
124,SL18-UCONN-124,SL18-OI-11-F1,OI,SL18-SF-15-M2,SF,OIxSF,2,4,5/29/19,20:14:00,,Yes,4.17,0.96,Yes,,95.6,4,200,4,202,3,113,3,131,2,16,320,,,,,,,,,,,741.6,40.27,5.43,4.34375,0.23,y,4,,,,,
125,SL18-UCONN-125,SL18-OI-15-F1,OI,SA18-CB-2-M3,CB,OIxCB,2,2,5/29/19,18:01:00,Schery,Yes,3.76,0.67,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,16.4,3,68.5,2,96,3,30.9,3,91.3,2,303.1,30.09,9.93,5.611940299,0.37,y,4,,,,,
126,SL18-UCONN-126,SL18-OI-15-F1,OI,SL18-LD-10-M1,LD,OIxLD,3,3,5/30/19,17:50:00,Michael,Yes,0.14,0.41,No,,0,0,0,0,0,0,0,0,0,0,0,0,1.23,1,48.85,1,2.43,1,1.47,3,2.36,1,56.34,8.74,15.51,0.3414634146,0.02,,1,,,,,
127,SL18-UCONN-127,SL18-OI-15-F1,OI,SL18-NL-5-M1,NL,OIxNL,1,8,5/30/19,15:25:00,Simona,Yes,1,0.74,Yes,,76.9,2,99.5,4,0,0,57,4,0,0,10,200,85.2,4,8.3,2,,,,,,,326.9,30.45,9.31,1.351351351,0.09,y,4,,,,,
128,SL18-UCONN-128,SL18-OI-15-F1,OI,SL18-SF-15-M1,SF,OIxSF,1,8,5/30/19,15:25:00,Tricia,Yes,4.42,0.92,Yes,,60.2,2,87.8,5,19.4,2,98.5,2,178,6,17,340,,,,,,,,,,,443.9,40.88,9.21,4.804347826,0.41,y,4,,,,,
129,SL18-UCONN-129,SL18-OI-16-F1,OI,SA18-CB-4-M1,CB,OIxCB,3,4,5/30/19,18:34:00,Simona,Yes,0.6,0.78,Yes,Very sparse,0,0,0,0,0,0,124,3,0,0,3,60,64,2,49.8,2,34,1,5.3,1,,,277.1,31.38,11.32,0.7692307692,0.07,y,1,,,,,
130,SL18-UCONN-130,SL18-OI-16-F1,OI,SL18-LD-13-M3,LD,OIxLD,3,6,5/31/19,,,Yes,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
131,SL18-UCONN-131,SL18-OI-16-F1,OI,SL18-LL-9-M3,LL,OIxLL,1,1,5/30/19,9:59:00,,Yes,0.09,0.7,Yes,Only 1 blade @ 61cm,0,0,0,0,0,0,0,0,0,0,0,0,9.2,1,,,,,,,,,9.2,1.33,14.46,0.1285714286,0.01,y,1,,,,,
132,SL18-UCONN-132,SL18-OI-16-F1,OI,SL18-NL-2-M1,NL,OIxNL,1,3,5/30/19,11:21:00,,Yes,0.21,0.76,No,,0,0,0,0,0,0,0,0,0,0,0,0,16,4,1,1,19,4,20,2,1,2,57,5.19,9.11,0.2763157895,0.02,,1,,,,,
133,SL18-UCONN-133,SL18-OI-16-F1,OI,SL18-OI-7-M1,OI,OIxOI,3,7,5/31/19,8:07:00,Michael,Yes,0.35,1,No,,0,0,0,0,0,0,0,0,0,0,0,0,33.32,3,33.25,1,38.3,1,52.48,1,48.11,1,205.46,21.59,10.51,0.35,0.04,,1,,,,,
134,SL18-UCONN-134,SL18-OI-16-F2,OI,SA18-CB-3-M3,CB,OIxCB,3,7,5/31/19,,Schery,,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
135,SL18-UCONN-135,SL18-OI-16-F2,OI,SL18-SF-19-M2,SF,OIxSF,4,7,5/31/19,,,No,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
136,SL18-UCONN-136,SL18-OI-16-F3,OI,SA18-CB-4-M3,CB,OIxCB,3,2,5/30/19,16:59:00,Liana,Yes,4.84,0.81,Yes,,0,0,210.2,17,0,0,87.1,7,0,0,24,480,51.9,10,,,,,,,,,349.2,30.57,8.75,5.975308642,0.42,y,4,,,,,
137,SL18-UCONN-137,SL18-OI-16-F3,OI,SA18-CB-5-M3,CB,OIxCB,1,9,5/30/19,,Michael,Yes,0.55,0.92,Yes,,37.37,3,0,0,0,0,0,0,1.01,4,7,140,75.81,5,86.32,4,5.89,2,,,,,206.4,25.46,12.34,0.597826087,0.07,y,4,,,,,
138,SL18-UCONN-138,SL18-OI-16-F3,OI,SL18-LD-10-M3,LD,OIxLD,2,2,5/29/19,14:33:00,Schery,Yes,0.42,0.77,No,,0,0,0,0,0,0,0,0,0,0,0,0,11.4,1,416,1,77.9,3,33.7,2,4.2,3,543.2,17.30,3.18,0.5454545455,0.01,,1,,,,,
139,SL18-UCONN-139,SL18-OI-16-F3,OI,SL18-LD-1-M2,LD,OIxLD,2,5,5/29/19,20:27:00,Michelle,Yes,0.15,0.91,Yes,Only one blade,0,0,0,0,0,0,0,0,0,0,0,0,7.5,1,,,,,,,,,7.5,0.65,8.67,0.1648351648,0.01,y,1,,,,,
140,SL18-UCONN-140,SL18-OI-16-F3,OI,SL18-LD-3-M2,LD,OIxLD,1,3,5/30/19,11:20:00,,Yes,2.27,0.96,Yes,,11.4,2,23.4,4,0.5,1,0,0,14.4,3,10,200,55.7,6,,,,,,,,,105.4,8.61,8.17,2.364583333,0.19,y,1,,,,,
141,SL18-UCONN-141,SL18-OI-16-F3,OI,SL18-NL-6-M1,NL,OIxNL,3,8,5/31/19,,Mayra,Yes,2.29,0.93,Yes,,41.62,2,0,0,0,0,17.95,2,22.76,3,7,140,40.18,2,17.08,2,,,,,,,139.59,13.02,9.33,2.462365591,0.21,y,1,,,,,
142,SL18-UCONN-142,SL18-OI-16-F3,OI,SL18-SF-17-M2,SF,OIxSF,1,2,5/30/19,10:39:00,,Yes,3.8,0.76,Yes,,130.65,10,42.98,6,45.14,5,130.87,10,0,0,31,620,,,,,,,,,,,349.64,31.66,9.06,5,0.34,y,4,,,,,
143,SL18-UCONN-143,SL18-OI-17-F1,OI,SL18-SF-13-M2,SF,OIxSF,2,3,5/29/19,19:06:00,Schery,Yes,5.39,0.84,Yes,,97,2,160,4,25,4,4,4,84,8,22,440,,,,,,,,,,,370,29.60,8.00,6.416666667,0.43,y,4,,,,,
145,SL18-UCONN-145,SL18-OI-17-F2,OI,SL18-SF-17-M2,SF,OIxSF,1,2,5/30/19,10:51:00,,Yes,0.5,0.77,Yes,,25,1,52,1,0,0,0,0,0,0,2,40,76,1,46,2,33,4,,,,,232,19.29,8.31,0.6493506494,0.04,y,1,,,,,
146,SL18-UCONN-146,SL18-OI-18-F1,OI,SL18-OI-9-M3,OI,OIxOI,1,1,5/30/19,10:02:00,,No,3.93,0.94,Yes,,42.6,7,25,3,22.1,2,11.3,1,71.3,2,15,300,,,,,,,,,,,172.3,13.90,8.07,4.180851064,0.32,y,4,,,,,
147,SL18-UCONN-147,SL18-OI-18-F2,OI,SA18-CB-7-M1,CB,OIxCB,2,6,5/30/19,,Simona,Yes,3.34,0.97,Yes,,47.3,1,19,2,22,1,79,4,0,0,8,160,45,2,,,,,,,,,212.3,21.18,9.98,3.443298969,0.33,y,1,,,,,
148,SL18-UCONN-148,SL18-OI-18-F2,OI,SL18-LD-10-M1,LD,OIxLD,4,9,5/31/19,15:00:00,Maggie,Yes,3.67,0.92,Yes,,68.08,3,15,1,81.28,3,43.65,5,15,3,15,300,,,,,,,,,,,223.01,18.82,8.44,3.989130435,0.31,y,1,,,,,
149,SL18-UCONN-149,SL18-OI-18-F2,OI,SL18-LD-9-M1,LD,OIxLD,3,1,5/30/19,16:15:00,Michelle,Yes,2.53,0.91,Yes,,172,4,20.3,1,12.5,3,6.5,1,0.79,2,11,220,,,,,,,,,,,212.09,23.10,10.89,2.78021978,0.28,y,1,,,,,
150,SL18-UCONN-150,SL18-OI-18-F2,OI,SL18-NL-2-M2,NL,OIxNL,4,3,5/31/19,11:15:00,Simona,Yes,2.34,0.88,Yes,Hole Punches,4.1,3,24.2,6,31.5,2,13.1,2,1.8,2,15,300,,,,,,,,,,,74.7,6.77,9.06,2.659090909,0.21,y,1,,,,,
151,SL18-UCONN-151,SL18-OI-18-F2,OI,SL18-LD-2-M3,SF,OIxSF,2,8,5/29/19,12:00:00,Tricia,Yes,0.83,0.82,Yes,,0,0,0,0,3.85,1,0,0,88.9,3,4,80,119,2,133,8,11.1,1,,,,,355.85,33.22,9.34,1.012195122,0.08,y,1,,,,,
152,SL18-UCONN-152,SL18-OI-18-F3,OI,SL18-LL-9-M1,LL,OIxLL,1,8,5/30/19,15:00:00,Tricia,Yes,0.82,1,Yes,,0,0,0,0,0,0,15,1,0.9,1,2,40,45.3,2,73,2,139.3,2,,,,,273.5,28.44,10.40,0.82,0.09,y,1,,,,,
153,SL18-UCONN-153,SL18-OI-18-F3,OI,SL18-OI-7-M1,OI,OIxOI,4,1,5/31/19,9:32:00,Liana,Yes,2.74,0.86,Yes,,0.6,1,0,0,64.1,1,10.4,4,47.2,3,9,180,74.2,2,,,,,,,,,196.5,19.00,9.67,3.186046512,0.26,y,4,,,,,
154,SL18-UCONN-154,SL18-OI-18-F5,OI,SA18-CB-4-M3,CB,OIxCB,3,4,5/30/19,18:23:00,Michael,Yes,1.31,0.77,Yes,,62.16,3,0,0,0,0,0,0,0,2,5,100,1.05,1,163.67,2,16.81,1,17.65,2,,,261.34,36.12,13.82,1.701298701,0.18,y,1,,,,,
155,SL18-UCONN-155,SL18-OI-18-F5,OI,SL18-LD-2-M1,LD,OIxLD,3,6,5/31/19,7:54:00,Liana,Yes,3.02,0.98,Yes,,6.2,4,8.4,4,103.4,5,0,0,59.7,1,14,280,,,,,,,,,,,177.7,16.40,9.23,3.081632653,0.28,y,1,,,,,
156,SL18-UCONN-156,SL18-OI-18-F5,OI,SL18-NL-7-M1,NL,OIxNL,3,7,5/31/19,8:25:00,Liana,Yes,0.47,0.67,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,45.3,4,34.2,2,42.4,2,11.9,1,18.6,2,152.4,16.35,10.73,0.7014925373,0.05,y,1,,,,,
157,SL18-UCONN-157,SL18-OI-18-F5,OI,SL18-SF-15-M2,SF,OIxSF,3,9,5/31/19,9:23:00,Jon,Yes,4.94,0.92,Yes,"287 Plants total on plot, look for sorus tissue",52.4,4,7.4,1,23.3,2,4.6,2,41.71,2,11,220,,,,,,,,,,,129.41,13.36,10.32,5.369565217,0.51,y,4,,,,,
158,SL18-UCONN-158,SL18-OI-18-F6,OI,SA18-CB-1-M2,CB,OIxCB,1,6,5/30/19,14:30:00,Michael,Yes,3.65,0.87,Yes,,8.64,2,36.55,2,26.9,3,188.4,4,71,3,14,280,,,,,,,,,,,331.49,24.50,7.39,4.195402299,0.27,y,1,,,,,
159,SL18-UCONN-159,SL18-OI-18-F6,OI,SL18-NL-6-M1,NL,OIxNL,3,8,5/31/19,8:56:00,Jon,Yes,1.43,0.86,Yes,,95.4,4,135,5,0,0,25.8,1,34.5,2,12,240,81.2,4,,,,,,,,,371.9,36.17,9.73,1.662790698,0.14,,1,8.38,12.22,0.25,7.87,37.13
160,SL18-UCONN-160,SL18-OI-18-F6,OI,SL18-SF-17-M1,SF,OIxSF,2,2,5/29/19,18:00:00,Tricia,Yes,0.75,0.82,,,14,1,4.3,1,13.33,1,26.8,1,29,1,5,100,,,,,,,,,,,87.43,8.40,9.61,0.9146341463,0.07,y,1,,,,,
161,SL18-UCONN-161,SL18-OI-2-F2,OI,SA18-CB-7-M2,CB,OIxCB,3,6,5/31/19,7:48:00,Liana,Yes,0.07,0.8,No,One blade only,0,0,0,0,0,0,0,0,0,0,0,0,10.1,1,,,,,,,,,10.1,0.94,9.31,0.0875,0.01,y,1,,,,,
162,SL18-UCONN-162,SL18-OI-2-F2,OI,SL18-LD-1-M2,LD,OIxLD,2,5,5/30/19,8:48:00,Michelle,Yes,1.02,0.9,Yes,,0,0,0,0,0,0,0,0,51.2,1,1,20,90.2,2,178,3,24.9,1,29.4,2,,,373.7,37.48,10.03,1.133333333,0.10,y,1,8.38,10.81,0.92,7,34.18
163,SL18-UCONN-163,SL18-OI-2-F2,OI,SL18-LD-2-M1,LD,OIxLD,1,5,5/30/19,13:00:00,,Yes,0.22,0.695,,,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4,18,1,1.2,1,37,1,51.4,4,109,13.40,12.29,0.3165467626,0.03,,1,,,,,
164,SL18-UCONN-164,SL18-OI-2-F2,OI,SL18-LL-9-M3,LL,OIxLL,1,5,5/30/19,12:58:00,,Yes,0.12,0.8,Yes,only 10 blades,0,0,0,0,0.1,1,0,0,0,0,1,20,37.7,1,0.8,1,0.8,1,0.2,1,,,39.6,5.42,13.69,0.15,0.02,y,1,,,,,
165,SL18-UCONN-165,SL18-OI-2-F2,OI,SL18-NL-3-M2,NL,OIxNL,1,9,5/30/19,,,Yes,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
166,SL18-UCONN-166,SL18-OI-2-F2,OI,SL18-SF-17-M2,SF,OIxSF,2,1,5/29/19,13:05:00,Schery,,0.13,0.89,No,4 blades,0,0,0,0,0,0,0,0,0,0,0,0,24,2,18,1,35,1,,,,,77,6.97,9.05,0.1460674157,0.01,,1,,,,,
167,SL18-UCONN-167,SL18-OI-2-F3,OI,SA18-CB-4-M1,CB,OIxCB,2,9,5/29/19,,Tricia,Yes,0.57,0.93,Yes,Seed string not attached to kelp line,39,3,0,0,0,0,0.9,8,0,0,11,220,33,5,55.3,3,92,4,,,,,220.2,29.21,13.27,0.6129032258,0.08,y,1,,,,,
168,SL18-UCONN-168,SL18-OI-2-F3,OI,SL18-LD-10-M1,LD,OIxLD,2,4,5/29/19,,Tricia,Yes,0.12,0.81,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,5.3,2,1.6,3,0.3,3,39.5,3,,,46.7,6.29,13.47,0.1481481481,0.02,y,1,,,,,
